date,growth
2015-07-25,12
2015-07-26,16
2015-07-27,15
2015-07-28,28
2015-07-29,24
2015-07-30,22
2015-07-31,22
2015-08-01,25
2015-08-02,28
2015-08-03,51
2015-08-04,28
2015-08-05,35
2015-08-06,21
2015-08-07,38
2015-08-08,11
2015-08-09,34
2015-08-10,25
2015-08-11,68
2015-08-12,15
2015-08-13,24
2015-08-14,13
2015-08-15,15
2015-08-16,19
2015-08-17,38
2015-08-18,25
2015-08-19,159
2015-08-20,33
2015-08-21,20
2015-08-22,28
2015-08-23,29
2015-08-24,25
2015-08-25,19
2015-08-26,19
2015-08-27,67
2015-08-28,20
2015-08-29,26
2015-08-30,32
2015-08-31,43
2015-09-01,35
2015-09-02,37
2015-09-03,37
2015-09-04,38
2015-09-05,12
2015-09-06,22
2015-09-07,26
2015-09-08,20
2015-09-09,34
2015-09-10,27
2015-09-11,23
2015-09-12,11
2015-09-13,15
2015-09-14,21
2015-09-15,33
2015-09-16,12
2015-09-17,16
2015-09-18,41
2015-09-19,24
2015-09-20,19
2015-09-21,26
2015-09-22,23
2015-09-23,19
2015-09-24,31
2015-09-25,18
2015-09-26,22
2015-09-27,23
2015-09-28,31
2015-09-29,33
2015-09-30,25
2015-10-01,25
2015-10-02,13
2015-10-03,31
2015-10-04,50
2015-10-05,28
2015-10-06,47
2015-10-07,49
2015-10-08,28
2015-10-09,23
2015-10-10,29
2015-10-11,23
2015-10-12,26
2015-10-13,41
2015-10-14,18
2015-10-15,18
2015-10-16,41
2015-10-17,34
2015-10-18,35
2015-10-19,45
2015-10-20,33
2015-10-21,33
2015-10-22,12
2015-10-23,20
2015-10-24,15
2015-10-25,24
2015-10-26,59
2015-10-27,67
2015-10-28,23
2015-10-29,23
2015-10-30,29
2015-10-31,19
2015-11-01,20
2015-11-02,41
2015-11-03,26
2015-11-04,34
2015-11-05,15
2015-11-06,18
2015-11-07,25
2015-11-08,150
2015-11-09,401
2015-11-10,137
2015-11-11,21
2015-11-12,30
2015-11-13,19
2015-11-14,19
2015-11-15,30
2015-11-16,17
2015-11-17,19
2015-11-18,28
2015-11-19,23
2015-11-20,16
2015-11-21,16
2015-11-22,35
2015-11-23,31
2015-11-24,35
2015-11-25,46
2015-11-26,41
2015-11-27,30
2015-11-28,23
2015-11-29,38
2015-11-30,39
2015-12-01,29
2015-12-02,27
2015-12-03,411
2015-12-04,46
2015-12-05,32
2015-12-06,18
2015-12-07,31
2015-12-08,30
2015-12-09,33
2015-12-10,46
2015-12-11,18
2015-12-12,27
2015-12-13,14
2015-12-14,69
2015-12-15,6
2015-12-16,8
2015-12-17,18
2015-12-18,8
2015-12-19,9
2015-12-20,1
2015-12-21,5
2015-12-22,11
2015-12-23,18
2015-12-24,10
2015-12-25,6
2015-12-26,1
2015-12-27,-17
2015-12-28,-9
2015-12-29,6
2015-12-30,-17
2015-12-31,-14
2016-01-01,-25
2016-01-02,-31
2016-01-03,14
2016-01-04,-7
2016-01-05,-16
2016-01-06,21
2016-01-07,38
2016-01-08,26
2016-01-09,10
2016-01-10,31
2016-01-11,26
2016-01-12,18
2016-01-13,38
2016-01-14,25
2016-01-15,27
2016-01-16,12
2016-01-17,37
2016-01-18,14
2016-01-19,14
2016-01-20,24
2016-01-21,-20
2016-01-22,-1
2016-01-23,12
2016-01-24,19
2016-01-25,29
2016-01-26,20
2016-01-27,-1
2016-01-28,32
2016-01-29,23
2016-01-30,29
2016-01-31,23
2016-02-01,17
2016-02-02,16
2016-02-03,14
2016-02-04,20
2016-02-05,37
2016-02-06,20
2016-02-07,15
2016-02-08,35
2016-02-09,16
2016-02-10,27
2016-02-11,7
2016-02-12,11
2016-02-13,21
2016-02-14,19
2016-02-15,15
2016-02-16,25
2016-02-17,35
2016-02-18,62
2016-02-19,85
2016-02-20,18
2016-02-21,-1
2016-02-22,11
2016-02-23,7
2016-02-24,33
2016-02-25,36
2016-02-26,30
2016-02-27,35
2016-02-28,33
2016-02-29,29
2016-03-01,43
2016-03-02,-6
2016-03-03,8
2016-03-04,22
2016-03-05,28
2016-03-06,97
2016-03-07,115
2016-03-08,26
2016-03-09,13
2016-03-10,4
2016-03-11,18
2016-03-12,4
2016-03-12,41
2016-03-13,7
2016-03-14,8
2016-03-15,18
2016-03-16,13
2016-03-17,14
2016-03-18,13
2016-03-19,7
2016-03-20,14
2016-03-21,10
2016-03-22,29
2016-03-23,10
2016-03-24,31
2016-03-25,15
2016-03-26,3
2016-03-27,22
2016-03-28,35
2016-03-29,27
2016-03-30,19
2016-03-31,13
2016-04-01,4
2016-04-02,23
2016-04-03,32
2016-04-04,25
2016-04-05,22
2016-04-06,27
2016-04-07,41
2016-04-08,20
2016-04-09,35
2016-04-10,25
2016-04-11,17
2016-04-12,38
2016-04-13,41
2016-04-14,22
2016-04-15,21
2016-04-16,17
2016-04-17,12
2016-04-18,13
2016-04-19,30
2016-04-20,21
2016-04-21,33
2016-04-22,22
2016-04-23,24
2016-04-24,21
2016-04-25,23
2016-04-26,28
2016-04-27,54
2016-04-28,36
2016-04-29,53
2016-04-30,20
2016-05-01,20
2016-05-02,20
2016-05-03,23
2016-05-04,20
2016-05-05,21
2016-05-06,41
2016-05-07,41
2016-05-08,42
2016-05-09,29
2016-05-10,44
2016-05-11,44
2016-05-12,44
2016-05-13,44
2016-05-14,44
2016-05-15,48
2016-05-16,31
2016-05-17,32
2016-05-18,29
2016-05-19,30
2016-05-20,32
2016-05-21,32
2016-05-22,32
2016-05-23,32
2016-05-24,32
2016-05-25,32
2016-05-26,32
2016-05-27,32
2016-05-28,32
2016-05-29,32
2016-05-30,32
2016-05-31,34
2016-06-01,63
2016-06-02,27
2016-06-03,27
2016-06-04,27
2016-06-05,27
2016-06-06,27
2016-06-07,27
2016-06-08,27
2016-06-09,27
2016-06-10,28
2016-06-11,15
2016-06-12,17
2016-06-13,34
2016-06-14,34
2016-06-15,34
2016-06-16,34
2016-06-17,34
2016-06-18,34
2016-06-19,34
2016-06-20,34
2016-06-21,34
2016-06-22,34
2016-06-23,34
2016-06-24,34
2016-06-25,34
2016-06-26,34
2016-06-27,34
2016-06-28,34
2016-06-29,34
2016-06-30,34
2016-07-01,34
2016-07-02,34
2016-07-03,34
2016-07-04,34
2016-07-05,34
2016-07-06,34
2016-07-07,34
2016-07-08,34
2016-07-09,34
2016-07-10,34
2016-07-11,34
2016-07-12,34
2016-07-13,34
2016-07-14,34
2016-07-15,34
2016-07-16,34
2016-07-17,34
2016-07-18,34
2016-07-19,36
2016-07-20,34
2016-07-21,29
2016-07-22,29
2016-07-23,29
2016-07-24,29
2016-07-25,29
2016-07-26,29
2016-07-27,29
2016-07-28,29
2016-07-29,29
2016-07-30,29
2016-07-31,29
2016-08-01,29
2016-08-02,29
2016-08-03,41
2016-08-04,27
2016-08-05,379
2016-08-06,140
2016-08-07,32
2016-08-08,32
2016-08-09,32
2016-08-10,34
2016-08-11,37
2016-08-12,37
2016-08-13,37
2016-08-14,38
2016-08-15,46
2016-08-16,46
2016-08-17,47
2016-08-18,26
2016-08-19,60
2016-08-20,54
2016-08-21,54
2016-08-22,51
2016-08-23,51
2016-08-24,51
2016-08-25,51
2016-08-26,51
2016-08-27,52
2016-08-28,26
2016-08-29,27
2016-08-30,74
2016-08-31,74
2016-09-01,74
2016-09-02,76
2016-09-03,4
2016-09-04,34
2016-09-05,45
2016-09-06,45
2016-09-07,45
2016-09-08,45
2016-09-09,45
2016-09-10,49
2016-09-11,42
2016-09-12,42
2016-09-13,42
2016-09-14,42
2016-09-15,42
2016-09-16,42
2016-09-17,42
2016-09-18,42
2016-09-19,42
2016-09-20,48
2016-09-21,31
2016-09-22,31
2016-09-23,62
2016-09-24,33
2016-09-25,33
2016-09-26,33
2016-09-27,33
2016-09-28,49
2016-09-29,50
2016-09-30,51
2016-10-01,40
2016-10-02,41
2016-10-03,16
2016-10-04,34
2016-10-05,52
2016-10-06,39
2016-10-07,39
2016-10-08,39
2016-10-09,39
2016-10-10,39
2016-10-11,41
2016-10-12,227
2016-10-13,228
2016-10-14,41
2016-10-15,41
2016-10-16,41
2016-10-17,41
2016-10-18,41
2016-10-19,41
2016-10-20,41
2016-10-21,41
2016-10-22,41
2016-10-23,41
2016-10-24,46
2016-10-25,50
2016-10-26,50
2016-10-27,50
2016-10-28,50
2016-10-29,50
2016-10-30,50
2016-10-31,50
2016-11-01,50
2016-11-02,50
2016-11-03,50
2016-11-04,50
2016-11-05,50
2016-11-06,50
2016-11-06,50
2016-11-07,50
2016-11-08,50
2016-11-09,50
2016-11-10,50
2016-11-11,50
2016-11-13,66
2016-11-14,47
2016-11-15,47
2016-11-16,49
2016-11-17,31
2016-11-18,31
2016-11-19,31
2016-11-20,31
2016-11-21,31
2016-11-22,31
2016-11-23,31
2016-11-24,34
2016-11-25,51
2016-11-26,51
2016-11-27,51
2016-11-28,51
2016-11-29,51
2016-11-30,51
2016-12-01,51
2016-12-02,51
2016-12-03,51
2016-12-04,51
2016-12-05,51
2016-12-06,51
2016-12-07,51
2016-12-08,51
2016-12-09,51
2016-12-10,51
2016-12-11,51
2016-12-12,51
2016-12-13,51
2016-12-14,51
2016-12-15,51
2016-12-16,51
2016-12-17,51
2016-12-18,51
2016-12-19,51
2016-12-20,51
2016-12-21,51
2016-12-22,51
2016-12-23,51
2016-12-24,51
2016-12-25,51
2016-12-26,51
2016-12-27,51
2016-12-28,51
2016-12-29,51
2016-12-30,73
2016-12-31,42
2017-01-01,95
2017-01-02,163
2017-01-03,37
2017-01-04,69
2017-01-05,42
2017-01-06,42
2017-01-07,44
2017-01-08,134
2017-01-09,135
2017-01-10,55
2017-01-11,95
2017-01-12,36
2017-01-13,37
2017-01-14,75
2017-01-15,75
2017-01-16,75
2017-01-17,75
2017-01-18,62
2017-01-19,62
2017-01-20,62
2017-01-21,62
2017-01-22,64
2017-01-23,96
2017-01-24,96
2017-01-25,99
2017-01-26,44
2017-01-27,66
2017-01-28,73
2017-01-29,74
2017-01-30,44
2017-01-31,44
2017-02-01,45
2017-02-02,60
2017-02-03,60
2017-02-04,61
2017-02-05,57
2017-02-06,57
2017-02-07,57
2017-02-08,59
2017-02-09,41
2017-02-10,41
2017-02-11,41
2017-02-12,67
2017-02-13,68
2017-02-14,76
2017-02-15,76
2017-02-16,78
2017-02-17,58
2017-02-18,58
