date,count,total_count,ratio
"2011-11-19","2","15125","0.0001322314049586777"
"2011-11-20","1","14254","7.015574575557738e-05"
"2011-11-21","0","24732","0"
"2011-11-22","0","24136","0"
"2011-11-23","4","24226","0.0001651118632873772"
"2011-11-24","1","17684","5.6548292241574305e-05"
"2011-11-25","2","18503","0.0001080905799059612"
"2011-11-26","4","13147","0.00030425192059024874"
"2011-11-27","3","10178","0.0002947533896639811"
"2011-11-28","1","17262","5.7930714865021436e-05"
"2011-11-29","2","14937","0.0001338956952533976"
"2011-11-30","1","19685","5.08001016002032e-05"
"2011-12-01","3","21483","0.00013964530093562352"
"2011-12-02","3","23223","0.0001291822761917065"
"2011-12-03","2","14461","0.00013830302192102898"
"2011-12-04","4","14603","0.0002739163185646785"
"2011-12-05","25","25247","0.0009902166594050778"
"2011-12-06","3","23535","0.00012746972594008922"
"2011-12-07","1","25999","3.8463017808377244e-05"
"2011-12-08","3","27036","0.00011096316023080337"
"2011-12-09","0","25166","0"
"2011-12-10","2","16948","0.0001180080245456691"
"2011-12-11","1","14838","6.739452756436177e-05"
"2011-12-12","5","25916","0.0001929310078715851"
"2011-12-13","0","24394","0"
"2011-12-14","4","24750","0.00016161616161616162"
"2011-12-15","2","26554","7.531821947729155e-05"
"2011-12-16","2","23724","8.430281571404485e-05"
"2011-12-17","3","14409","0.00020820320632937748"
"2011-12-18","5","13634","0.00036673023324042833"
"2011-12-19","2","24641","8.116553711294185e-05"
"2011-12-20","4","24082","0.00016609916119923594"
"2011-12-21","3","24149","0.0001242287465319475"
"2011-12-22","5","23938","0.00020887292171442893"
"2011-12-23","3","22204","0.00013511079084849577"
"2011-12-24","2","14820","0.0001349527665317139"
"2011-12-25","1","14814","6.750371270419872e-05"
"2011-12-26","0","16745","0"
"2011-12-27","2","21318","9.381743127873159e-05"
"2011-12-28","1","22322","4.479885314935937e-05"
"2011-12-29","0","22479","0"
"2011-12-30","11","21784","0.0005049577671685641"
"2011-12-31","1","15163","6.595000989250148e-05"
"2012-01-01","2","13014","0.0001536806516059628"
"2012-01-02","2","16830","0.00011883541295306001"
"2012-01-03","3","20641","0.00014534179545564653"
"2012-01-04","2","22841","8.756184054988836e-05"
"2012-01-05","2","23181","8.62775548940943e-05"
"2012-01-06","4","23315","0.00017156337122024447"
"2012-01-07","1","15265","6.550933508024893e-05"
"2012-01-08","0","15641","0"
"2012-01-09","2","24863","8.044081566987089e-05"
"2012-01-10","3","26538","0.00011304544426859598"
"2012-01-11","4","25892","0.0001544878727019929"
"2012-01-12","4","25454","0.0001571462245619549"
"2012-01-13","3","25004","0.00011998080307150856"
"2012-01-14","2","14759","0.00013551053594416967"
"2012-01-15","4","16404","0.000243842965130456"
"2012-01-16","0","22688","0"
"2012-01-17","6","24633","0.00024357569114602363"
"2012-01-18","9","26548","0.0003390085882175682"
"2012-01-19","3","26872","0.00011164036915748734"
"2012-01-20","2","27463","7.2825255798711e-05"
"2012-01-21","1","15514","6.44579089854325e-05"
"2012-01-22","0","15661","0"
"2012-01-23","7","25685","0.0002725326065797158"
"2012-01-24","4","25531","0.00015667228075672712"
"2012-01-25","6","26560","0.00022590361445783133"
"2012-01-26","2","25872","7.730364873222017e-05"
"2012-01-27","7","26548","0.0002636733463914419"
"2012-01-28","1","16120","6.203473945409429e-05"
"2012-01-29","3","14918","0.0002010993430754793"
"2012-01-30","6","25570","0.00023464998044583498"
"2012-01-31","0","26297","0"
"2012-02-01","3","26373","0.00011375270162666363"
"2012-02-02","4","27496","0.00014547570555717196"
"2012-02-03","6","26013","0.0002306539038173221"
"2012-02-04","1","17479","5.7211510956004346e-05"
"2012-02-05","3","16250","0.0001846153846153846"
