date,count,total_count,ratio
"2011-08-01","12","25400","0.00047244094488188977"
"2011-08-02","11","25191","0.000436663887896471"
"2011-08-03","14","25658","0.0005456387871229247"
"2011-08-04","10","25665","0.0003896356906292616"
"2011-08-05","18","25283","0.0007119408298065894"
"2011-08-06","2","15182","0.00013173494928204451"
"2011-08-07","4","14550","0.000274914089347079"
"2011-08-08","7","24692","0.000283492629191641"
"2011-08-09","4","25167","0.00015893829220805023"
"2011-08-10","5","24916","0.00020067426553218814"
"2011-08-11","6","25762","0.00023290117226923375"
"2011-08-12","8","24227","0.00033021009617369054"
"2011-08-13","9","14520","0.0006198347107438017"
"2011-08-14","16","13671","0.0011703606173652256"
"2011-08-15","14","26018","0.000538089015297102"
"2011-08-16","14","25595","0.0005469818323891385"
"2011-08-17","7","25823","0.0002710761724044456"
"2011-08-18","13","24771","0.0005248072342658754"
"2011-08-19","19","24565","0.0007734581721962141"
"2011-08-20","13","14242","0.0009127931470299115"
"2011-08-21","10","13756","0.0007269555103227683"
"2011-08-22","14","24183","0.0005789190753835338"
"2011-08-23","11","24125","0.00045595854922279795"
"2011-08-24","15","24374","0.0006154098629687372"
"2011-08-25","7","24936","0.0002807186397176773"
"2011-08-26","11","23421","0.0004696639767729815"
"2011-08-27","9","14163","0.0006354585892819318"
"2011-08-28","7","14282","0.0004901274331326144"
"2011-08-29","24","24137","0.000994324066785433"
"2011-08-30","7","24561","0.0002850046822197793"
"2011-08-31","4","24514","0.00016317206494248184"
"2011-09-01","10","25375","0.00039408866995073894"
"2011-09-02","15","24246","0.0006186587478346944"
"2011-09-03","11","14693","0.0007486558225005105"
"2011-09-04","8","14152","0.0005652911249293386"
"2011-09-05","8","19202","0.00041662326840954066"
"2011-09-06","14","23821","0.0005877167205406994"
"2011-09-07","18","25288","0.0007118000632711167"
"2011-09-08","17","25651","0.0006627421932868114"
"2011-09-09","6","25310","0.0002370604504148558"
"2011-09-10","5","15125","0.00033057851239669424"
"2011-09-11","10","15259","0.0006553509404285995"
"2011-09-12","20","25117","0.0007962734402993988"
"2011-09-13","6","25305","0.00023710729104919976"
"2011-09-14","16","25820","0.0006196746707978311"
"2011-09-15","10","26941","0.0003711814706209866"
"2011-09-16","14","25172","0.0005561735261401557"
"2011-09-17","1","14729","6.789327177676693e-05"
"2011-09-18","1","14369","6.959426543252836e-05"
"2011-09-19","5","25518","0.00019594012069911436"
"2011-09-20","3","25896","0.00011584800741427248"
"2011-09-21","11","25501","0.000431355633112427"
"2011-09-22","18","25471","0.0007066860350987398"
"2011-09-23","9","24800","0.00036290322580645164"
"2011-09-24","8","16531","0.0004839392656221644"
"2011-09-25","0","15024","0"
"2011-09-26","9","25650","0.0003508771929824561"
"2011-09-27","12","25595","0.0004688415706192616"
"2011-09-28","17","25686","0.0006618391341586857"
"2011-09-29","7","25982","0.00026941728889231007"
"2011-09-30","17","26423","0.0006433788744654278"
"2011-10-01","3","15661","0.0001915586488729966"
"2011-10-02","7","15005","0.0004665111629456848"
"2011-10-03","2","25409","7.871226730685978e-05"
"2011-10-04","8","25373","0.0003152957868600481"
"2011-10-05","9","26134","0.00034437896992423663"
"2011-10-06","8","25231","0.0003170702706987436"
"2011-10-07","17","25457","0.0006677927485563892"
"2011-10-08","4","14723","0.00027168376010323984"
"2011-10-09","2","14432","0.0001385809312638581"
"2011-10-10","9","24933","0.0003609673926122007"
"2011-10-11","10","25578","0.000390960982093987"
"2011-10-12","3","25202","0.00011903817157368463"
"2011-10-13","9","26128","0.00034445805266380893"
"2011-10-14","14","24520","0.0005709624796084829"
"2011-10-15","5","16007","0.00031236334103829577"
"2011-10-16","7","14633","0.0004783708057131142"
"2011-10-17","18","24871","0.0007237344698645008"
"2011-10-18","12","25138","0.00047736494550083537"
"2011-10-19","4","25777","0.00015517709586065096"
"2011-10-20","13","24232","0.000536480686695279"
"2011-10-21","9","20609","0.00043670241156776166"
"2011-10-22","2","13708","0.00014590020426028595"
"2011-10-23","6","13529","0.00044349175844482226"
"2011-10-24","25","25578","0.0009774024552349676"
"2011-10-25","17","24756","0.0006867022136047827"
"2011-10-26","9","25512","0.0003527751646284102"
"2011-10-27","16","19339","0.0008273437096023579"
"2011-10-28","20","23371","0.0008557614137178555"
"2011-10-29","12","14961","0.0008020854220974534"
"2011-10-30","8","13859","0.0005772422252687784"
"2011-10-31","20","24771","0.0008073957450244237"
"2011-11-01","6","22212","0.0002701242571582928"
"2011-11-02","22","23717","0.0009276046717544377"
"2011-11-03","38","24069","0.0015787942997216337"
"2011-11-04","29","22249","0.0013034293676120275"
"2011-11-05","3","8627","0.0003477454503303582"
"2011-11-06","7","11946","0.0005859701992298677"
"2011-11-07","14","25795","0.000542740841248304"
"2011-11-08","19","24545","0.0007740884090446119"
"2011-11-09","20","26170","0.0007642338555598013"
"2011-11-10","22","25039","0.0008786293382323575"
"2011-11-11","9","24262","0.00037095045750556424"
"2011-11-12","4","13462","0.0002971326697370376"
"2011-11-13","6","15018","0.00039952057530962844"
"2011-11-14","5","25543","0.00019574834592647693"
"2011-11-15","7","15005","0.0004665111629456848"
"2011-11-16","3","13692","0.00021910604732690623"
"2011-11-17","13","25654","0.0005067435877446012"
"2011-11-18","16","24813","0.0006448232781203401"
"2011-11-19","9","15125","0.0005950413223140496"
"2011-11-20","5","14254","0.0003507787287778869"
"2011-11-21","13","24724","0.0005258048859407863"
"2011-11-22","4","24136","0.00016572754391779913"
"2011-11-23","10","24226","0.000412779658218443"
"2011-11-24","6","17684","0.00033928975344944584"
"2011-11-25","7","18503","0.00037831702967086416"
"2011-11-26","6","13142","0.0004565515142291889"
"2011-11-27","4","10175","0.0003931203931203931"
"2011-11-28","5","17254","0.0002897878752752985"
"2011-11-29","3","14930","0.00020093770931011386"
"2011-11-30","11","19685","0.0005588011176022352"
"2011-12-01","19","21469","0.0008849969723787787"
"2011-12-02","16","23212","0.0006892986386351886"
"2011-12-03","2","14461","0.00013830302192102898"
"2011-12-04","5","14603","0.00034239539820584813"
"2011-12-05","10","25241","0.0003961808169248445"
"2011-12-06","8","23528","0.00034002040122407346"
"2011-12-07","16","25999","0.0006154082849340359"
