date,growth
2015-11-07,144
2015-11-08,377
2015-11-09,829
2015-11-10,205
2015-11-11,149
2015-11-12,121
2015-11-13,102
2015-11-14,117
2015-11-15,123
2015-11-16,129
2015-11-17,124
2015-11-18,128
2015-11-19,113
2015-11-20,92
2015-11-21,128
2015-11-22,152
2015-11-23,146
2015-11-24,132
2015-11-25,139
2015-11-26,77
2015-11-27,119
2015-11-28,122
2015-11-29,111
2015-11-30,141
2015-12-01,148
2015-12-02,125
2015-12-03,331
2015-12-04,123
2015-12-05,108
2015-12-06,122
2015-12-07,106
2015-12-08,156
2015-12-09,126
2015-12-10,181
2015-12-11,108
2015-12-12,113
2015-12-13,90
2015-12-14,102
2015-12-15,82
2015-12-16,87
2015-12-17,30
2015-12-18,30
2015-12-19,9
2015-12-20,2
2015-12-21,30
2015-12-22,10
2015-12-23,17
2015-12-24,-6
2015-12-25,-35
2015-12-26,-18
2015-12-27,-117
2015-12-28,-98
2015-12-29,-146
2015-12-30,-87
2015-12-31,-107
2016-01-01,-71
2016-01-02,-110
2016-01-03,-63
2016-01-04,-228
2016-01-05,-91
2016-01-06,97
2016-01-07,95
2016-01-08,120
2016-01-09,81
2016-01-10,59
2016-01-11,71
2016-01-12,106
2016-01-13,104
2016-01-14,122
2016-01-15,149
2016-01-16,106
2016-01-17,131
2016-01-18,132
2016-01-19,140
2016-01-20,106
2016-01-21,129
2016-01-22,109
2016-01-23,121
2016-01-24,103
2016-01-25,109
2016-01-26,114
2016-01-27,103
2016-01-28,146
2016-01-29,122
2016-01-30,105
2016-01-31,122
2016-02-01,110
2016-02-02,110
2016-02-03,149
2016-02-04,88
2016-02-05,113
2016-02-06,121
2016-02-07,124
2016-02-08,106
2016-02-09,105
2016-02-10,108
2016-02-11,119
2016-02-12,99
2016-02-13,111
2016-02-14,94
2016-02-15,123
2016-02-16,130
2016-02-17,114
2016-02-18,170
2016-02-19,240
2016-02-20,77
2016-02-21,64
2016-02-22,86
2016-02-23,124
2016-02-24,91
2016-02-25,72
2016-02-26,111
2016-02-27,105
2016-02-28,91
2016-02-29,100
2016-03-01,87
2016-03-02,120
2016-03-03,98
2016-03-04,271
2016-03-05,195
2016-03-06,171
2016-03-07,248
2016-03-08,140
2016-03-09,117
2016-03-10,73
2016-03-11,91
2016-03-12,55
2016-03-12,105
2016-03-13,49
2016-03-14,49
2016-03-15,96
2016-03-16,112
2016-03-17,80
2016-03-18,71
2016-03-19,47
2016-03-20,45
2016-03-21,83
2016-03-22,98
2016-03-23,96
2016-03-24,100
2016-03-25,74
2016-03-26,56
2016-03-27,101
2016-03-28,82
2016-03-29,108
2016-03-30,97
2016-03-31,106
2016-04-01,66
2016-04-02,75
2016-04-03,104
2016-04-04,90
2016-04-05,103
2016-04-06,132
2016-04-07,105
2016-04-08,63
2016-04-09,172
2016-04-10,84
2016-04-11,157
2016-04-12,132
2016-04-13,166
2016-04-14,123
2016-04-15,71
2016-04-16,68
2016-04-17,115
2016-04-18,124
2016-04-19,135
2016-04-20,97
2016-04-21,101
2016-04-22,123
2016-04-23,80
