Country Name;2011;2012;2013;2014;2015;2016;2017;
Barbados;16458.3532105715;16249.5593937258;16451.1635759912;16489.0722373387;16525.0732500596;16900.166552366;17391.4258663397;
Brunei Darussalam;47055.8411171808;47740.5149015856;44740.085018517;41726.7839720342;31164.5620291141;27157.8234104784;28572.1467776509;
Bhutan;2563.2575266012;2538.94590031276;2472.71430857435;2652.21458893197;2752.66420790266;2930.56298891838;3286.57470287488;
Botswana;7617.32509421648;7070.37655030163;7224.96517150786;7780.63838460394;6799.87523352768;7243.85299726842;7893.21010771116;
Central African Republic;551.750096552583;565.800696971217;380.298167643018;424.448751343631;377.423001679447;402.191290596004;450.900244979058;
Canada;52087.446383568;52678.3901234772;52652.5936828278;50893.4467137547;43585.5119817751;42322.4847803038;45148.5527061655;
Central Europe and the Baltics;13889.3857774639;13015.8287162841;13718.0977494553;14161.90730278;12493.7138218191;12792.5141152591;14198.129857177;
Switzerland;88415.6280609527;83538.2300783858;85112.4643984141;86605.5633762421;82081.5971239792;80172.2320747951;80449.9945608366;
Chile;14637.2402355403;15351.5513257697;15842.9408052125;14670.996760602;13574.171830724;13753.5944374598;14999.3700885512;
China;5618.13249134962;6316.91886335683;7050.64591988963;7678.599431661;8066.94242356745;8147.9381477822;8879.43814888506;
Cote d'Ivoire;1208.58302649782;1243.2734867584;1415.87175770634;1561.46365461434;1972.54610769746;2013.38246179891;2111.02707557541;
Cameroon;1405.09439231907;1354.54561274707;1465.63884316769;1542.62026621531;1327.50301711492;1364.33011041997;1425.10781805334;
Congo, Dem. Rep.;387.082465361488;424.600386118518;457.96372825635;486.787081921552;497.316960805476;471.318840409572;467.07423746489;
Congo, Rep.;3286.69453468035;3032.49388349185;3047.93077321007;2996.91802578845;1762.03201773797;1815.29584294039;1767.89452055028;
Colombia;7335.11050963648;8050.05841420756;8218.03399561565;8114.08406910545;6175.87613151279;5871.2235753589;6377.85136303665;
Comoros;1447.96358713476;1403.34861983706;1505.34947313614;1513.8303792438;1242.6031895579;1273.05895265459;1323.81158996501;
Cabo Verde;3740.38909850629;3447.5240412173;3615.97904131099;3588.6740539538;3043.01398430098;3130.96338461412;3292.6457550859;
Costa Rica;9121.93251763187;9913.20995852366;10490.0813312933;10547.1518593556;11299.1355423011;11666.4559107759;11814.6265687665;
Caribbean small states;9762.0534629369;10017.3835886664;10140.1659423388;10202.2747658002;9939.80120602741;9384.91452359793;9557.51749317694;
Cuba;6139.71932965905;6497.32111313561;6837.71289192677;7133.34209494342;7694.0119195241;8060.79588647979;8541.2106734664;
Curacao;20146.3864122001;20587.397358013;20462.7179539813;20258.0096948833;19951.3279030441;19555.3658492891;19457.5315232205;
Cayman Islands;72328.411640906;72783.320437604;73515.8953177856;74990.4332223775;76280.4862528245;78296.0999272332;81124.5134794821;
Cyprus;32396.3857437121;28912.1569390403;27729.1926990735;27129.6261211298;23333.7149112129;24532.5190588269;26338.6943443136;
Czech Republic;21717.4579392202;19729.8705111763;19916.0193873722;19744.5586092159;17715.6168523009;18463.3865756564;20379.8960396417;
Germany;46644.776027968;43858.3630551076;46285.7640688407;47959.9932737599;41139.5445685533;42098.9204453545;44349.5896552757;
Djibouti;1451.54297984389;1559.24065068226;2312.72880330353;2464.32784119361;2658.97875260181;2802.19705115707;2914.38385631251;
Dominica;7065.06184677542;6848.3942266793;7016.67647144723;7318.10378289945;7596.43506226258;8080.96862341186;7274.72133332918;
Denmark;61753.647131977;58507.5080517852;61191.1937042028;62548.9847332908;53254.8560039631;54663.9983719195;57141.0598350414;
Dominican Republic;5913.43207224236;6110.36965247193;6238.13360822241;6608.82810187508;6921.5172283795;7280.88010922762;7609.33879943715;
Algeria;5455.85352874953;5592.25709916356;5499.58148704572;5493.02558996263;4177.89251546889;3946.44397689835;4044.27660039876;
East Asia & Pacific (excluding high income);4858.58187445479;5378.84238954117;5891.45776577729;6306.32841414278;6522.67436374416;6612.24847115179;7173.39830759622;
Early-demographic dividend;3252.8883056719;3362.38279072181;3373.30668044576;3444.08795085167;3297.40525634055;3328.52405517429;3548.28805066882;
East Asia & Pacific;8861.4584655038;9420.49788165368;9466.23545167095;9703.28402570888;9598.27855497314;9857.98086489345;10467.7021916107;
Europe & Central Asia (excluding high income);9611.53680415616;10189.2239751585;10729.4077397626;9897.82794207497;7461.21170155524;7043.48134673804;7863.6790493156;
Europe & Central Asia;26109.2590137749;25068.3281202146;26071.8520582126;26301.0829908345;22551.6008910796;22371.6823872914;23597.42400545;
Ecuador;5200.55579014874;5682.04500655353;6056.3308269681;6377.09153014217;6124.49164262072;6060.09332904415;6213.50127649921;
